CHR25.AtP.um.g40687	300	CHR25.AtP.um.g40687	322	CHR25.AtP.um.g40687	282
CHR25.AtP.um.g40688	184	CHR25.AtP.um.g40688	183	CHR25.AtP.um.g40688	159
CHR25.AtP.um.g40689	167	CHR25.AtP.um.g40689	181	CHR25.AtP.um.g40689	160
CHR25.AtP.um.g40690	180	CHR25.AtP.um.g40690	207	CHR25.AtP.um.g40690	207
CHR25.AtP.um.g40691	0	CHR25.AtP.um.g40691	0	CHR25.AtP.um.g40691	0
CHR25.AtP.um.g40692	51	CHR25.AtP.um.g40692	53	CHR25.AtP.um.g40692	64
CHR25.AtP.um.g40693	194	CHR25.AtP.um.g40693	167	CHR25.AtP.um.g40693	217
CHR25.AtP.um.g40694	230	CHR25.AtP.um.g40694	227	CHR25.AtP.um.g40694	248
CHR25.AtP.um.g40695	382	CHR25.AtP.um.g40695	364	CHR25.AtP.um.g40695	357
CHR25.AtP.um.g40696	56	CHR25.AtP.um.g40696	56	CHR25.AtP.um.g40696	65
CHR25.AtP.um.g40697	152	CHR25.AtP.um.g40697	164	CHR25.AtP.um.g40697	158
CHR25.AtP.um.g40698	66	CHR25.AtP.um.g40698	72	CHR25.AtP.um.g40698	70
CHR25.AtP.um.g40699	129	CHR25.AtP.um.g40699	108	CHR25.AtP.um.g40699	122
CHR25.AtP.um.g40700	112	CHR25.AtP.um.g40700	133	CHR25.AtP.um.g40700	129
CHR25.AtP.um.g40701	3	CHR25.AtP.um.g40701	4	CHR25.AtP.um.g40701	1
CHR25.AtP.um.g40702	4	CHR25.AtP.um.g40702	6	CHR25.AtP.um.g40702	4
CHR25.AtP.um.g40703	49	CHR25.AtP.um.g40703	50	CHR25.AtP.um.g40703	47
CHR25.AtP.um.g40704	115	CHR25.AtP.um.g40704	103	CHR25.AtP.um.g40704	117
CHR25.AtP.um.g40705	203	CHR25.AtP.um.g40705	223	CHR25.AtP.um.g40705	218
CHR25.AtP.um.g40706	150	CHR25.AtP.um.g40706	153	CHR25.AtP.um.g40706	189
CHR25.AtP.um.g40707	246	CHR25.AtP.um.g40707	259	CHR25.AtP.um.g40707	274
CHR25.AtP.um.g40708	59	CHR25.AtP.um.g40708	54	CHR25.AtP.um.g40708	50
CHR25.AtP.um.g40709	455	CHR25.AtP.um.g40709	467	CHR25.AtP.um.g40709	476
CHR25.AtP.um.g40710	433	CHR25.AtP.um.g40710	419	CHR25.AtP.um.g40710	409
CHR25.AtP.um.g40711	80	CHR25.AtP.um.g40711	67	CHR25.AtP.um.g40711	69
CHR25.AtP.um.g40712	254	CHR25.AtP.um.g40712	245	CHR25.AtP.um.g40712	287
CHR25.AtP.um.g40713	1065	CHR25.AtP.um.g40713	1008	CHR25.AtP.um.g40713	1001
CHR25.AtP.um.g40714	157	CHR25.AtP.um.g40714	143	CHR25.AtP.um.g40714	149
CHR25.AtP.um.g40715	416	CHR25.AtP.um.g40715	471	CHR25.AtP.um.g40715	491
CHR25.AtP.um.g40716	144	CHR25.AtP.um.g40716	162	CHR25.AtP.um.g40716	186
CHR25.AtP.um.g40717	160	CHR25.AtP.um.g40717	171	CHR25.AtP.um.g40717	180
CHR25.AtP.um.g40718	300	CHR25.AtP.um.g40718	297	CHR25.AtP.um.g40718	255
CHR25.AtP.um.g40719	103	CHR25.AtP.um.g40719	93	CHR25.AtP.um.g40719	120
CHR25.AtP.um.g40720	410	CHR25.AtP.um.g40720	390	CHR25.AtP.um.g40720	373
CHR25.AtP.um.g40721	452	CHR25.AtP.um.g40721	410	CHR25.AtP.um.g40721	400
CHR25.AtP.um.g40722	71	CHR25.AtP.um.g40722	72	CHR25.AtP.um.g40722	60
CHR25.AtP.um.g40723	339	CHR25.AtP.um.g40723	367	CHR25.AtP.um.g40723	360
CHR25.AtP.um.g40724	350	CHR25.AtP.um.g40724	360	CHR25.AtP.um.g40724	350
CHR25.AtP.um.g40725	188	CHR25.AtP.um.g40725	199	CHR25.AtP.um.g40725	210
CHR25.AtP.um.g40726	227	CHR25.AtP.um.g40726	218	CHR25.AtP.um.g40726	231
CHR25.AtP.um.g40727	506	CHR25.AtP.um.g40727	589	CHR25.AtP.um.g40727	541
CHR25.AtP.um.g40728	150	CHR25.AtP.um.g40728	124	CHR25.AtP.um.g40728	119
CHR25.AtP.um.g40729	530	CHR25.AtP.um.g40729	558	CHR25.AtP.um.g40729	580
CHR25.AtP.um.g40730	481	CHR25.AtP.um.g40730	469	CHR25.AtP.um.g40730	451
CHR25.AtP.um.g40731	121	CHR25.AtP.um.g40731	105	CHR25.AtP.um.g40731	98
CHR25.AtP.um.g40732	331	CHR25.AtP.um.g40732	310	CHR25.AtP.um.g40732	296
CHR25.AtP.um.g40733	142	CHR25.AtP.um.g40733	115	CHR25.AtP.um.g40733	117
CHR25.AtP.um.g40734	210	CHR25.AtP.um.g40734	223	CHR25.AtP.um.g40734	226
CHR25.AtP.um.g40735	64	CHR25.AtP.um.g40735	66	CHR25.AtP.um.g40735	66
CHR25.AtP.um.g40736	101	CHR25.AtP.um.g40736	94	CHR25.AtP.um.g40736	86
CHR25.AtP.um.g40737	50	CHR25.AtP.um.g40737	56	CHR25.AtP.um.g40737	49
CHR25.AtP.um.g40738	409	CHR25.AtP.um.g40738	425	CHR25.AtP.um.g40738	475
CHR25.AtP.um.g40739	522	CHR25.AtP.um.g40739	472	CHR25.AtP.um.g40739	492
CHR25.AtP.um.g40740	139	CHR25.AtP.um.g40740	107	CHR25.AtP.um.g40740	120
CHR25.AtP.um.g40741	61	CHR25.AtP.um.g40741	63	CHR25.AtP.um.g40741	65
CHR25.AtP.um.g40742	51	CHR25.AtP.um.g40742	57	CHR25.AtP.um.g40742	52
CHR25.AtP.um.g40743	313	CHR25.AtP.um.g40743	309	CHR25.AtP.um.g40743	318
CHR25.AtP.um.g40744	199	CHR25.AtP.um.g40744	187	CHR25.AtP.um.g40744	177
CHR25.AtP.um.g40745	119	CHR25.AtP.um.g40745	109	CHR25.AtP.um.g40745	113
CHR25.AtP.um.g40746	414	CHR25.AtP.um.g40746	400	CHR25.AtP.um.g40746	418
CHR25.AtP.um.g40747	117	CHR25.AtP.um.g40747	79	CHR25.AtP.um.g40747	95
CHR25.AtP.um.g40748	62	CHR25.AtP.um.g40748	60	CHR25.AtP.um.g40748	75
CHR25.AtP.um.g40749	178	CHR25.AtP.um.g40749	173	CHR25.AtP.um.g40749	170
CHR25.AtP.um.g40750	93	CHR25.AtP.um.g40750	86	CHR25.AtP.um.g40750	102
CHR25.AtP.um.g40751	353	CHR25.AtP.um.g40751	398	CHR25.AtP.um.g40751	375
CHR25.AtP.um.g40752	184	CHR25.AtP.um.g40752	163	CHR25.AtP.um.g40752	158
CHR25.AtP.um.g40753	315	CHR25.AtP.um.g40753	318	CHR25.AtP.um.g40753	344
CHR25.AtP.um.g40754	124	CHR25.AtP.um.g40754	127	CHR25.AtP.um.g40754	137
CHR25.AtP.um.g40755	292	CHR25.AtP.um.g40755	252	CHR25.AtP.um.g40755	266
CHR25.AtP.um.g40756	250	CHR25.AtP.um.g40756	242	CHR25.AtP.um.g40756	265
CHR25.AtP.um.g40757	175	CHR25.AtP.um.g40757	178	CHR25.AtP.um.g40757	177
