CHR25.AtP.um.g40633 83 61 60
CHR25.AtP.um.g40634 667 677 658
CHR25.AtP.um.g40635 249 240 225
CHR25.AtP.um.g40636 228 250 225
CHR25.AtP.um.g40637 449 422 430
CHR25.AtP.um.g40638 241 245 267
CHR25.AtP.um.g40639 470 486 521
CHR25.AtP.um.g40640 35 25 23
CHR25.AtP.um.g40641 288 326 299
CHR25.AtP.um.g40642 202 212 206
CHR25.AtP.um.g40643 273 235 228
CHR25.AtP.um.g40644 86 71 77
CHR25.AtP.um.g40645 104 104 112
CHR25.AtP.um.g40646 150 152 155
CHR25.AtP.um.g40647 78 59 67
CHR25.AtP.um.g40648 304 346 321
CHR25.AtP.um.g40649 76 75 88
CHR25.AtP.um.g40650 317 297 361
CHR25.AtP.um.g40651 106 113 110
CHR25.AtP.um.g40652 67 79 60
CHR25.AtP.um.g40653 72 72 75
CHR25.AtP.um.g40654 446 423 395
CHR25.AtP.um.g40655 208 199 190
CHR25.AtP.um.g40656 143 142 140
CHR25.AtP.um.g40657 80 97 88
CHR25.AtP.um.g40658 172 189 176
CHR25.AtP.um.g40659 53 52 49
CHR25.AtP.um.g40660 121 138 146
CHR25.AtP.um.g40661 59 75 70
CHR25.AtP.um.g40662 689 681 671
CHR25.AtP.um.g40663 347 349 318
CHR25.AtP.um.g40664 111 90 86
CHR25.AtP.um.g40665 143 152 158
CHR25.AtP.um.g40666 466 425 452
CHR25.AtP.um.g40667 50 64 55
CHR25.AtP.um.g40668 165 162 148
CHR25.AtP.um.g40669 138 131 153
CHR25.AtP.um.g40670 401 438 419
CHR25.AtP.um.g40671 62 92 78
CHR25.AtP.um.g40672 238 246 227
CHR25.AtP.um.g40673 281 277 283
CHR25.AtP.um.g40674 212 215 210
CHR25.AtP.um.g40675 84 94 79
CHR25.AtP.um.g40676 109 91 98
CHR25.AtP.um.g40677 184 151 161
CHR25.AtP.um.g40678 93 107 96
CHR25.AtP.um.g40679 100 112 108
CHR25.AtP.um.g40680 131 129 125
CHR25.AtP.um.g40681 62 61 56
CHR25.AtP.um.g40682 458 451 453
CHR25.AtP.um.g40683 294 320 324
